Time Serie,EU/US,SWD/US
2000-10-05,1.1514,9.8292
2000-10-06,1.1521,9.84
2000-10-09,ND,ND
2000-10-10,1.1518,9.919
2000-10-11,1.1474,9.865
2000-10-12,1.1569,9.905
2000-10-13,1.1671,9.935
2000-10-16,1.178,10.013
2000-10-17,1.1755,10.007
2000-10-18,1.1918,10.115
2000-10-19,1.1896,10.065
2000-10-20,1.1905,10.12
2000-10-23,1.1956,10.113
2000-10-24,1.1956,10.128
2000-10-25,1.2092,10.245
2000-10-26,1.209,10.3
2000-10-27,1.1896,10.1238
2000-10-30,1.186,10.06
2000-10-31,1.1784,9.997
2000-11-01,1.165,9.892
2000-11-02,1.1636,9.912
2000-11-03,1.1609,9.915
2000-11-06,1.165,9.998
2000-11-07,1.1651,10.001
2000-11-08,1.1684,10
2000-11-09,1.1663,10.022
2000-11-10,1.1594,9.9685
2000-11-13,1.1618,10.048
2000-11-14,1.1665,10.1048
2000-11-15,1.1669,10.094
2000-11-16,1.1721,10.14
2000-11-17,1.1743,10.17
2000-11-20,1.1784,10.2136
2000-11-21,1.1823,10.301
2000-11-22,1.1872,10.302
2000-11-23,ND,ND
2000-11-24,1.193,10.36
2000-11-27,1.1765,10.2425
2000-11-28,1.17,10.1694
2000-11-29,1.1659,10.133
2000-11-30,1.1502,10.04
2000-12-01,1.1409,9.9
2000-12-04,1.1268,9.725
2000-12-05,1.1358,9.742
2000-12-06,1.1265,9.63
2000-12-07,1.1247,9.713
2000-12-08,1.1315,9.735
2000-12-11,1.1401,9.7205
2000-12-12,1.1396,9.7195
2000-12-13,1.1422,9.792
2000-12-14,1.1289,9.68
2000-12-15,1.1135,9.6
2000-12-18,1.1199,9.68
2000-12-19,1.1233,9.781
2000-12-20,1.104,9.59
2000-12-21,1.0975,9.587
2000-12-22,1.0834,9.539
2000-12-25,ND,ND
2000-12-26,1.0762,9.502
2000-12-27,1.0748,9.5725
2000-12-28,1.0803,9.555
2000-12-29,1.0652,9.444
2001-01-01,ND,ND
2001-01-02,1.0565,9.415
2001-01-03,1.0556,9.445
2001-01-04,1.0584,9.422
2001-01-05,1.0488,9.338
2001-01-08,1.0542,9.418
2001-01-09,1.0642,9.498
2001-01-10,1.0653,9.4325
2001-01-11,1.0504,9.325
2001-01-12,1.0542,9.344
2001-01-15,ND,ND
2001-01-16,1.0668,9.505
2001-01-17,1.0746,9.565
2001-01-18,1.0586,9.43
2001-01-19,1.068,9.463
2001-01-22,1.0668,9.518
2001-01-23,1.0651,9.532
2001-01-24,1.0801,9.622
2001-01-25,1.0847,9.69
2001-01-26,1.0854,9.631
2001-01-29,1.0892,9.6442
2001-01-30,1.0794,9.551
2001-01-31,1.0743,9.5227
2001-02-01,1.0656,9.489
2001-02-02,1.0687,9.5125
2001-02-05,1.0644,9.51
2001-02-06,1.0748,9.567
2001-02-07,1.0717,9.5375
2001-02-08,1.0889,9.672
2001-02-09,1.0791,9.6325
2001-02-12,1.0768,9.662
2001-02-13,1.0865,9.7975
2001-02-14,1.0873,9.833
2001-02-15,1.1041,9.882
2001-02-16,1.0915,9.802
2001-02-19,ND,ND
2001-02-20,1.0994,9.8765
2001-02-21,1.1017,9.94
2001-02-22,1.1027,9.973
2001-02-23,1.0995,9.953
2001-02-26,1.0997,9.922
2001-02-27,1.0955,9.908
2001-02-28,1.0855,9.815
